"Country","Adjective","Region"
"Finland","Finnish","Northern Europe"
"France","French","Western Europe"
"Gabon","Gabonese","Middle Africa"
"Gambia","Gambian","Western Africa"
"Georgia","Georgian","Western Asia"
"Germany","German","Western Europe"
"Ghana","Ghanaian","Western Africa"
"Greece","Greek, Hellenic","Southern Europe"
"Grenada","Grenadian","Caribbean"
"Guatemala","Guatemalan","Central America"
"Guinea","Guinean","Western Africa"
"Guinea-Bissau","Bissau-Guinean","Western Africa"
"Guyana","Guyanese","South America"
"Haiti","Haitian","Caribbean"
"Honduras","Honduran","Central America"
"Hungary","Hungarian","Eastern Europe"
"Iceland","Icelandic","Northern Europe"
"India","Indian","Southern Asia"
"Indonesia","Indonesian","South-eastern Asia"
"Iran","Iranian, Persian","Southern Asia"
"Iraq","Iraqi","Western Asia"
"Ireland","Irish","Northern Europe"
"Israel","Israeli","Western Asia"
"Italy","Italian","Southern Europe"
"Jamaica","Jamaican","Caribbean"
"Japan","Japanese","Eastern Asia"
"Jordan","Jordanian","Western Asia"
"Kazakhstan","Kazakhstani, Kazakh","Central Asia"
"Kenya","Kenyan","Eastern Africa"
"Kiribati","I-Kiribati","Micronesia"
"Kosovo","Kosovar","Southern Europe"
"Kuwait","Kuwaiti","Western Asia"
"Kyrgyzstan","Kyrgyzstani, Kyrgyz","Central Asia"
"Laos","Lao, Laotian","South-eastern Asia"
"Latvia","Latvian","Northern Europe"
"Lebanon","Lebanese","Western Asia"
"Lesotho","Mosotho","Southern Africa"
"Liberia","Liberian","Western Africa"
"Libya","Libyan","Northern Africa"
"Liechtenstein","Liechtensteiner","Western Europe"
"Lithuania","Lithuanian","Northern Europe"
"Luxembourg","Luxembourgish","Western Europe"
"Madagascar","Malagasy","Eastern Africa"
"Malawi","Malawian","Eastern Africa"
"Malaysia","Malaysian","South-eastern Asia"
"Maldives","Maldivian","Southern Asia"
"Mali","Malian","Western Africa"
"Malta","Maltese","Southern Europe"
"Marshall Island","Marshallese","Micronesia"
"Mauritania","Mauritanian","Western Africa"
"Mauritius","Mauritian","Eastern Africa"
"Mexico","Mexican","Central America"
"Micronesia","Micronesian","Micronesia"
"Moldova","Moldovan","Eastern Europe"
"Monaco","Monacan, Monegasque","Western Europe"
"Mongolia","Mongolian","Eastern Asia"
"Montenegro","Montenegrin","Southern Europe"
"Morocco","Moroccan","Northern Africa"
"Mozambique","Mozambican","Eastern Africa"
"Myanmar, Burma","Burmese","South-eastern Asia"
"Namibia","Namibian","Southern Africa"
"Nauru","Nauruan","Micronesia"
"Nepal","Nepali, Nepalese","Southern Asia"
"Netherlands, Holland","Dutch","Western Europe"
"New Zealand","New Zealander, Kiwi","Australia and New Zealand"
"Nicaragua","Nicaraguan","Central America"
"Niger","Nigerien","Western Africa"
"Nigeria","Nigerian","Western Africa"
"North Korea","North Korean","Eastern Asia"
"North Macedonia","Macedonian","Southern Europe"
"Norway","Norwegian","Northern Europe"
"Oman","Omani","Western Asia"
"Pakistan","Pakistani","Southern Asia"
"Palau","Palauan","Micronesia"
"Palestine","Palestinian","Western Asia"
"Panama","Panamanian","Central America"
"Papua New Guinea","Papua New Guinean","Melanesia"
"Paraguay","Paraguayan","South America"
"Peru","Peruvian","South America"
"Philippines","Philippine, Filipino","South-eastern Asia"
"Poland","Polish","Eastern Europe"
"Portugal","Portuguese","Southern Europe"
"Qatar","Qatari","Western Asia"
"Romania","Romanian","Eastern Europe"
"Russia","Russian","Eastern Europe"
"Rwanda","Rwandan","Eastern Africa"
"Saint Kitts, Nevis","Kittitian, Nevisian","Caribbean"
"Saint Lucia","Saint Lucian","Caribbean"
"Saint Vincent, Grenadines","Vincentian","Caribbean"
"Samoa","Samoan","Polynesia"
"San Marino","Sammarinese","Southern Europe"
"Sao Tome, Principe","Sao Tomean","Middle Africa"
"Saudi Arabia","Saudi, Saudi Arabian","Western Asia"
"Senegal","Senegalese","Western Africa"
"Serbia","Serbian","Southern Europe"
"Seychelles","Seychellois","Eastern Africa"
"Sierra Leone","Sierra Leonean","Western Africa"
"Singapore","Singaporean","South-eastern Asia"
"Slovakia","Slovak","Eastern Europe"
"Slovenia","Slovenian, Slovene","Southern Europe"
"Solomon Island","Solomon Islander","Melanesia"
"Somalia","Somali","Eastern Africa"
"South Africa","South African","Southern Africa"
"Korea","Korean","Eastern Asia"
"South Sudan","South Sudanese","Eastern Africa"
"Spain","Spanish","Southern Europe"
"Sri Lanka","Sri Lankan","Southern Asia"
"Sudan","Sudanese","Northern Africa"
"Suriname","Surinamese","South America"
"Sweden","Swedish","Northern Europe"
"Switzerland","Swiss","Western Europe"
"Syria","Syrian","Western Asia"
"Taiwan","Taiwanese","Eastern Asia"
"Tajikistan","Tajikistani","Central Asia"
"Tanzania","Tanzanian","Eastern Africa"
"Thailand","Thai","South-eastern Asia"
"Timor-Leste, East Timor","Timorese","South-eastern Asia"
"Togo","Togolese","Western Africa"
"Tonga","Tongan","Polynesia"
"Trinidad, Tobago","Trinidadian, Tobagonian","Caribbean"
"Tunisia","Tunisian","Northern Africa"
"Turkey","Turkish","Western Asia"
"Turkmenistan","Turkmen","Central Asia"
"Tuvalu","Tuvaluan","Polynesia"
"Uganda","Ugandan","Eastern Africa"
"Ukraine","Ukrainian","Eastern Europe"
"United Arab Emirates, UAE","Emirati","Western Asia"
"United Kingdom, UK, Great Britain","British, UK, English, Scottish, Welsh, Northern Irish","Northern Europe"
"United States, USA, America","American","Northern America"
"Uruguay","Uruguayan","South America"
"Uzbekistan","Uzbekistani, Uzbek","Central Asia"
"Vanuatu","Vanuatuan","Melanesia"
"Vatican, Vatican City, Holy See","Vaticanian","Southern Europe"
"Venezuela","Venezuelan","South America"
"Vietnam","Vietnamese","South-eastern Asia"
"Yemen","Yemeni","Western Asia"
"Zambia","Zambian","Eastern Africa"
"Zimbabwe","Zimbabwean","Eastern Africa"
